Postal Code, Amenity Count, Shop Count, Tourism Count
6224DC, 187, 81, 31
6224DB, 191, 75, 24
6224DD, 194, 75, 24
6228LC, 107, 21, 11
6228LB, 111, 21, 11
6224DA, 191, 75, 24
6228LE, 104, 21, 11
6228LD, 107, 21, 11
6228LA, 110, 21, 11
6224CV, 193, 86, 43
6224CW, 212, 93, 40
6224CR, 125, 52, 29
6224CT, 193, 84, 42
6224CS, 192, 81, 42
6224CM, 165, 80, 32
6224CP, 201, 87, 34
6224CE, 425, 390, 86
6224CG, 445, 401, 84
6224CB, 425, 388, 86
6224CA, 412, 381, 84
6224CD, 387, 329, 78
6224CC, 361, 321, 74
6219PE, 425, 483, 85
6228KB, 28, 12, 2
6228KA, 28, 15, 2
6228KD, 30, 16, 2
6228KC, 30, 16, 2
6224BX, 420, 384, 84
6224BZ, 409, 383, 82
6224BT, 430, 421, 84
6224BW, 330, 319, 76
6224BP, 415, 410, 83
6224BS, 407, 381, 80
6224BR, 352, 346, 70
6228JV, 33, 16, 2
6224BM, 423, 425, 84
6224BL, 429, 451, 85
6228JP, 36, 16, 3
6228JS, 37, 16, 3
6228JR, 38, 16, 3
6228JM, 38, 16, 3
6215GK, 42, 9, 2
6224BH, 233, 124, 45
6224BK, 403, 401, 80
6224BJ, 235, 138, 47
6228JN, 38, 16, 3
6215GH, 41, 9, 2
6224BE, 303, 297, 59
6215GG, 41, 9, 2
6224BD, 253, 192, 46
6215GJ, 41, 9, 2
6224BG, 215, 100, 42
6228JK, 40, 16, 3
6215GD, 40, 9, 2
6224BA, 244, 155, 46
6228JE, 44, 16, 4
6215GC, 41, 9, 2
6228JD, 41, 16, 3
6224BC, 256, 230, 51
6228JG, 41, 16, 3
6215GE, 41, 9, 2
6224BB, 277, 272, 54
6228JA, 40, 16, 3
6215GB, 41, 9, 2
6228JC, 41, 15, 3
6215GA, 41, 9, 2
6228JB, 39, 16, 3
6224AX, 179, 78, 37
6224AW, 174, 76, 37
6224AZ, 200, 87, 41
6224AT, 209, 100, 39
6224AS, 252, 127, 45
6224AV, 181, 86, 38
6219NW, 77, 35, 27
6224AP, 287, 244, 50
6224AR, 288, 233, 49
6224AL, 341, 303, 61
6224AK, 454, 427, 86
6224AN, 317, 253, 55
6224AM, 359, 344, 72
6224AH, 473, 485, 95
6219NN, 37, 19, 13
6224AG, 440, 483, 88
6224AJ, 474, 458, 91
6219NP, 10, 20, 2
6219NK, 6, 0, 2
6224AD, 209, 102, 42
6224AC, 131, 47, 33
6219NM, 55, 20, 24
6219NL, 6, 0, 2
6224AE, 357, 337, 64
6219NG, 6, 0, 2
6219NB, 23, 9, 6
6219NE, 60, 13, 20
6219ND, 6, 0, 2
6215EZ, 39, 8, 1
6219NA, 9, 5, 3
6215EV, 34, 7, 1
6228HW, 39, 16, 3
6228HV, 61, 17, 7
6215EX, 39, 9, 2
6215EW, 38, 8, 1
6228HX, 48, 17, 6
6215ER, 40, 9, 2
6215ET, 41, 9, 2
6215ES, 41, 9, 2
6228HT, 66, 17, 6
6215EN, 40, 9, 1
6215EM, 40, 9, 1
6215EP, 41, 9, 2
6215EJ, 39, 9, 1
6228HK, 74, 15, 7
6228HJ, 70, 15, 7
6215EL, 40, 9, 1
6228HM, 70, 15, 6
6215EK, 41, 9, 2
6228HL, 56, 15, 5
6228HG, 56, 15, 5
6215EE, 40, 9, 1
6215EH, 41, 9, 1
6215EG, 35, 7, 1
6228HH, 50, 15, 4
6215EB, 35, 9, 1
6228HC, 77, 17, 9
6215EA, 35, 7, 1
6228HB, 80, 18, 9
6215ED, 41, 9, 1
6215EC, 40, 9, 1
6228HA, 76, 17, 7
6228GZ, 23, 11, 2
6228GV, 25, 11, 2
6228GX, 23, 11, 2
6228GW, 30, 16, 2
6228GR, 34, 16, 2
6228GT, 28, 10, 2
6228GS, 25, 11, 2
6228GN, 27, 15, 2
6228GM, 24, 12, 2
6228GP, 20, 9, 2
6228GJ, 30, 16, 2
6228GL, 37, 16, 4
6228GK, 37, 16, 3
6228GE, 40, 16, 3
6228GH, 30, 16, 2
6228GG, 34, 16, 2
6228GB, 32, 16, 2
6228GA, 38, 16, 3
6228GD, 34, 16, 3
6228GC, 33, 16, 2
6215BW, 38, 8, 1
6228EX, 75, 15, 10
6215BV, 40, 9, 2
6228EW, 86, 18, 11
6215BX, 40, 9, 2
6215BS, 41, 9, 2
6228ET, 78, 16, 11
6215BR, 41, 9, 2
6228ES, 72, 15, 8
6228EV, 84, 17, 11
6215BT, 38, 9, 1
6228EP, 91, 18, 11
6215BN, 41, 9, 2
6228ER, 90, 17, 10
6215BP, 41, 9, 2
6215BK, 41, 9, 2
6228EL, 92, 16, 10
6215BJ, 42, 9, 2
6228EK, 108, 21, 11
6215BM, 41, 9, 2
6228EN, 89, 16, 10
6215BL, 41, 9, 2
6228EM, 94, 17, 10
6215BG, 42, 9, 2
6228EH, 98, 17, 11
6228EG, 96, 16, 10
6228EJ, 96, 16, 10
6215BH, 42, 9, 2
6215BC, 42, 9, 2
6228ED, 84, 15, 10
6215BB, 42, 9, 2
6228EC, 91, 14, 10
6215BE, 42, 9, 2
6215BD, 42, 9, 2
6228EE, 88, 15, 10
6215BA, 42, 9, 2
6228EB, 75, 17, 6
6228EA, 81, 16, 11
6228DP, 39, 15, 3
6215AJ, 40, 9, 2
6228DK, 42, 15, 3
6228DJ, 42, 15, 3
6228DM, 55, 15, 5
6215AK, 41, 9, 2
6228DL, 45, 15, 3
6215AE, 29, 6, 2
6215AH, 40, 9, 2
6215AG, 35, 6, 2
6228DH, 41, 14, 3
6215AD, 40, 9, 2
6215AC, 42, 9, 3
6224LK, 364, 158, 73
6224LJ, 279, 114, 44
6224LM, 334, 115, 66
6224LL, 325, 110, 57
6224LG, 387, 180, 80
6224LH, 329, 108, 62
6224LC, 312, 120, 45
6224LB, 338, 101, 66
6224LE, 408, 237, 83
6224LD, 285, 118, 44
6224LA, 393, 221, 80
6224KZ, 300, 98, 58
6211HX, 687, 529, 155
6211HZ, 688, 528, 152
6224KV, 264, 101, 45
6211HT, 688, 528, 154
6215PX, 43, 9, 2
6211HW, 687, 529, 155
6224KX, 300, 98, 58
6211HV, 692, 528, 153
6215PZ, 41, 9, 2
6224KW, 300, 98, 58
6224KR, 265, 119, 41
6228SV, 55, 12, 4
6211HP, 690, 528, 154
6215PT, 43, 10, 2
6215PW, 43, 10, 2
6224KT, 258, 113, 42
6228SX, 34, 11, 2
6211HR, 688, 528, 154
6215PV, 43, 10, 2
6224KS, 263, 117, 42
6228SW, 34, 9, 3
6211HM, 682, 526, 152
6224KN, 288, 121, 43
6228SR, 86, 37, 5
6211HL, 685, 523, 153
6215PP, 43, 10, 2
6224KM, 288, 118, 43
6215PS, 43, 10, 2
6224KP, 271, 121, 41
6228ST, 48, 14, 2
6211HN, 688, 528, 152
6215PR, 43, 10, 2
6215PM, 43, 11, 2
6224KJ, 293, 108, 46
6228SN, 82, 27, 5
6211HH, 679, 522, 152
6215PL, 44, 15, 2
6228SM, 53, 13, 3
6211HK, 680, 522, 152
6224KL, 280, 118, 43
6228SP, 78, 28, 5
6215PN, 43, 11, 2
6224KK, 283, 112, 44
6211HE, 689, 530, 155
6228SJ, 64, 24, 4
6211HD, 688, 530, 154
6215PH, 43, 15, 2
6224KE, 319, 104, 64
6215PK, 44, 20, 3
6224KH, 305, 105, 56
6215PJ, 44, 17, 3
6224KG, 314, 102, 62
6211HA, 687, 531, 156
6224KB, 286, 118, 44
6224KA, 294, 120, 43
6228SE, 43, 6, 2
6211HC, 685, 532, 155
6224KD, 317, 109, 64
6228SH, 63, 25, 4
6211HB, 684, 530, 153
6224KC, 280, 117, 44
6228SG, 45, 6, 2
6228SB, 76, 26, 5
6228SC, 44, 5, 2
6211GX, 682, 532, 157
6211GW, 684, 532, 156
6224JX, 205, 81, 33
6211GZ, 684, 533, 156
6224JZ, 180, 75, 23
6211GT, 683, 532, 156
6211GS, 682, 531, 157
6224JT, 267, 119, 40
6211GV, 682, 533, 153
6224JV, 217, 90, 37
6224JP, 258, 121, 39
6211GR, 681, 532, 157
6224JS, 240, 100, 37
6224JR, 263, 120, 40
6211GL, 675, 529, 158
6224JM, 242, 108, 39
6211GK, 677, 529, 158
6224JL, 217, 96, 38
6211GN, 683, 533, 156
6211GM, 684, 530, 156
6224JN, 253, 120, 40
6224JH, 193, 94, 31
6211GJ, 684, 527, 156
6224JK, 394, 331, 77
6224JJ, 242, 117, 36
6211GD, 677, 524, 157
6224JE, 405, 349, 80
6211GC, 679, 525, 156
6224JD, 378, 257, 78
6224JG, 165, 77, 27
6224JA, 175, 78, 27
6211GB, 673, 526, 157
6224JC, 245, 115, 39
6211GA, 683, 525, 155
6224JB, 210, 96, 33
6211EZ, 683, 525, 155
6211EV, 670, 526, 159
6224HW, 222, 103, 35
6224HV, 225, 114, 37
6211EX, 675, 525, 157
6224HX, 231, 113, 37
6211ER, 673, 531, 158
6224HR, 186, 89, 32
6211ET, 672, 530, 158
6211ES, 673, 530, 158
6224HT, 218, 101, 34
6211EN, 668, 530, 155
6211EM, 658, 525, 151
6224HN, 190, 97, 33
6211EP, 667, 530, 155
6224HP, 178, 94, 33
6211EL, 663, 525, 152
6224HM, 175, 84, 32
6224HL, 201, 96, 33
6224HG, 172, 88, 32
6224HH, 183, 94, 33
6211EB, 680, 531, 154
6224HC, 157, 75, 30
6211EA, 680, 533, 152
6224HB, 177, 87, 33
6211ED, 672, 529, 157
6224HE, 170, 82, 32
6211EC, 675, 532, 156
6224HD, 177, 83, 32
6224HA, 166, 82, 32
6224GZ, 165, 78, 28
6224GV, 213, 90, 34
6224GX, 157, 78, 28
6224GW, 143, 70, 27
6224GR, 151, 63, 31
6224GT, 210, 97, 34
6224GS, 194, 86, 32
6224GN, 214, 97, 35
6224GM, 190, 88, 32
6224GP, 219, 92, 34
6224GJ, 201, 87, 33
6224GL, 152, 68, 31
6224GK, 192, 86, 31
6211DE, 678, 525, 157
6224GE, 180, 75, 32
6211DA, 673, 526, 157
6224GB, 142, 58, 28
6224GA, 130, 52, 28
6224GD, 188, 81, 32
6224GC, 160, 66, 32
6211CW, 674, 528, 156
6211CS, 670, 529, 153
6211CP, 670, 532, 151
6211CR, 671, 529, 154
6211CL, 667, 526, 152
6211CK, 659, 527, 146
6211CM, 672, 528, 153
6211CH, 665, 526, 150
6215KL, 43, 10, 2
6215KK, 43, 10, 2
6211CJ, 660, 530, 148
6215KN, 35, 9, 1
6215KM, 44, 10, 2
6211CD, 640, 524, 148
6215KH, 42, 10, 1
6211CC, 612, 526, 142
6215KG, 41, 10, 1
6215KJ, 43, 10, 2
6211CE, 643, 527, 148
6215KD, 40, 9, 1
6215KC, 39, 9, 1
6211CB, 640, 528, 147
6211CA, 642, 528, 147
6215KE, 40, 9, 1
6211BZ, 629, 530, 142
6215KB, 37, 9, 1
6215KA, 41, 9, 1
6211BW, 625, 527, 144
6224EX, 148, 66, 28
6211BV, 648, 529, 146
6224EW, 126, 51, 28
6224EZ, 136, 56, 28
6211BX, 627, 526, 145
6211BS, 635, 529, 145
6224ET, 158, 77, 27
6215JV, 40, 8, 1
6224ES, 117, 45, 26
6224EV, 137, 58, 28
6211BT, 629, 530, 142
6215JS, 40, 8, 1
6224EP, 137, 55, 28
6211BN, 627, 530, 142
6215JR, 40, 8, 1
6224ER, 171, 83, 27
6211BP, 626, 531, 142
6215JT, 40, 8, 1
6211BK, 622, 528, 142
6224EL, 163, 67, 29
6211BJ, 620, 526, 145
6215JN, 41, 8, 1
6224EK, 185, 83, 29
6224EN, 115, 40, 26
6211BL, 616, 525, 142
6215JP, 37, 6, 1
6224EM, 182, 84, 30
6211BG, 609, 527, 138
6215JK, 44, 10, 1
6224EH, 255, 93, 39
6215JJ, 44, 10, 1
6224EG, 282, 146, 51
6215JM, 45, 21, 2
6211BH, 612, 527, 137
6215JL, 44, 14, 1
6211BC, 579, 526, 130
6215JG, 44, 9, 1
6224ED, 306, 204, 61
6211BB, 567, 524, 132
6224EC, 353, 296, 69
6211BE, 637, 529, 146
6211BD, 636, 530, 145
6215JH, 44, 9, 1
6224EE, 292, 163, 54
6215JC, 44, 9, 1
6215JB, 42, 10, 1
6211BA, 593, 526, 133
6215JE, 42, 9, 1
6224EB, 361, 248, 69
6215JD, 41, 9, 1
6211AZ, 651, 530, 146
6224DZ, 285, 245, 50
6215JA, 44, 11, 2
6211AV, 634, 530, 144
6211AX, 628, 526, 142
6211AW, 650, 529, 146
6211AR, 567, 526, 129
6211AT, 591, 526, 135
6211AN, 623, 528, 143
6211AM, 622, 528, 143
6211AP, 637, 530, 146
6211AL, 558, 525, 128
6214VX, 97, 44, 10
6214VW, 97, 44, 9
6214VZ, 96, 44, 9
6214VT, 97, 43, 12
6214VS, 105, 42, 13
6214VV, 89, 42, 6
6214VL, 164, 46, 24
6214VK, 181, 51, 34
6214VN, 138, 45, 18
6214VM, 174, 49, 30
6214VH, 256, 80, 61
6214VG, 211, 57, 58
6214VJ, 193, 53, 40
6227XW, 64, 47, 3
6227XT, 53, 47, 4
6227XS, 64, 48, 7
6227XV, 54, 47, 4
6227XP, 65, 48, 7
6227XR, 60, 48, 6
6227XL, 65, 48, 7
6227XK, 65, 48, 8
6227XN, 67, 49, 6
6227XM, 65, 48, 7
6227XH, 69, 49, 8
6227XG, 60, 48, 5
6227XJ, 65, 48, 8
6227XD, 65, 48, 6
6227XC, 65, 48, 6
6227XE, 64, 48, 5
6227XB, 69, 48, 5
6214TZ, 139, 49, 18
6214TV, 187, 52, 37
6214TX, 151, 45, 20
6214TW, 173, 50, 27
6214TR, 166, 51, 25
6214TT, 180, 51, 30
6214TS, 143, 47, 18
6214TN, 182, 52, 29
6214TM, 188, 52, 35
6214TP, 174, 51, 27
6214TJ, 201, 53, 46
6214TL, 217, 63, 48
6214TK, 201, 56, 43
6214TE, 251, 69, 54
6214TH, 219, 57, 52
6214TG, 205, 57, 48
6214TB, 256, 75, 54
6214TD, 224, 61, 50
6214TC, 238, 68, 52
6227VZ, 64, 48, 5
6214SX, 258, 79, 56
6214SZ, 246, 65, 55
6227VV, 61, 48, 5
6214ST, 264, 115, 59
6214SW, 245, 67, 57
6227VX, 62, 48, 5
6214SV, 271, 119, 64
6227VW, 80, 49, 7
6227VR, 62, 49, 5
6214SP, 239, 75, 50
6227VT, 80, 49, 7
6214SR, 256, 86, 54
6214SM, 283, 144, 62
6227VN, 69, 48, 4
6214SL, 257, 115, 54
6227VM, 71, 48, 7
6227VP, 61, 48, 5
6214SN, 289, 141, 69
6227VJ, 73, 49, 6
6214SH, 309, 206, 73
6214SK, 303, 200, 71
6227VL, 84, 50, 5
6214SJ, 399, 379, 94
6227VK, 74, 49, 6
6214SE, 390, 356, 100
6227VE, 71, 48, 7
6214SG, 397, 377, 102
6227VH, 72, 48, 6
6227VG, 71, 48, 7
6227VB, 87, 49, 7
6227VA, 80, 48, 8
6214SC, 409, 396, 102
6227VD, 87, 49, 7
6227VC, 80, 48, 9
6214RX, 487, 477, 109
6214RW, 430, 441, 97
6214RZ, 479, 462, 109
6214RT, 416, 414, 92
6214RS, 411, 400, 90
6214RV, 400, 364, 84
6214RP, 345, 271, 78
6214RR, 345, 268, 83
6214RL, 357, 292, 85
6214RK, 363, 296, 79
6214RN, 349, 272, 75
6214RM, 304, 237, 63
6214RH, 315, 206, 75
6214RG, 317, 206, 76
6214RJ, 326, 243, 66
6214RC, 314, 220, 72
6214RE, 298, 205, 70
6214RB, 299, 211, 64
6227TX, 88, 48, 10
6227TW, 91, 49, 7
6227TZ, 88, 49, 7
6227TT, 101, 50, 10
6227TS, 95, 49, 14
6227TV, 81, 48, 9
6227TP, 92, 49, 11
6227TR, 99, 49, 10
6227TL, 92, 50, 6
6227TK, 76, 49, 3
6227TN, 96, 50, 8
6227TM, 83, 50, 5
6227TH, 134, 49, 16
6227TG, 109, 49, 14
6227TJ, 90, 50, 7
6227TD, 109, 49, 14
6227TE, 114, 49, 14
6227TB, 137, 51, 16
6227TA, 132, 50, 16
6214PZ, 286, 203, 63
6227SZ, 133, 51, 12
6214PV, 395, 357, 85
6218XZ, 16, 7, 6
6227SW, 131, 51, 12
6227SV, 138, 54, 13
6214PX, 397, 357, 85
6214PW, 316, 232, 69
6227SX, 90, 50, 6
6214PR, 278, 196, 63
6227SR, 146, 49, 16
6214PT, 272, 182, 63
6218XX, 16, 7, 6
6214PS, 384, 332, 82
6227ST, 152, 51, 18
6214PN, 271, 166, 61
6214PM, 367, 305, 76
6227SN, 165, 55, 18
6214PP, 375, 307, 78
6227SP, 143, 49, 16
6214PJ, 162, 51, 27
6227SK, 160, 51, 17
6227SJ, 153, 51, 18
6214PL, 272, 170, 61
6227SM, 157, 50, 17
6214PK, 384, 337, 80
6227SL, 172, 59, 23
6227SG, 158, 54, 18
6214PE, 347, 253, 70
6214PH, 196, 57, 42
6214PG, 270, 169, 58
6227SH, 154, 50, 17
6214PB, 234, 83, 50
6227SC, 159, 50, 18
6214PA, 240, 90, 51
6227SB, 151, 52, 18
6214PD, 290, 220, 60
6214PC, 389, 359, 81
6218XG, 17, 7, 6
6218XB, 18, 7, 6
6218XA, 18, 7, 6
6218XD, 16, 7, 6
6218XC, 19, 7, 6
6227RZ, 159, 51, 18
6227RV, 155, 56, 18
6227RX, 158, 51, 18
6227RW, 161, 52, 18
6227RR, 161, 59, 17
6227RT, 155, 55, 17
6227RS, 159, 59, 18
6228CZ, 32, 15, 3
6228CV, 35, 15, 3
6228CX, 31, 16, 3
6228CW, 34, 16, 3
6228CR, 38, 15, 3
6228CT, 33, 16, 3
6228CS, 34, 16, 3
6228CN, 36, 15, 3
6228CM, 37, 15, 3
6228CP, 37, 15, 3
6228CK, 39, 15, 3
6228CB, 30, 15, 3
6228CA, 35, 14, 3
6228CD, 30, 15, 3
6228CC, 33, 14, 3
6228BT, 36, 14, 3
6228BV, 35, 14, 3
6228BP, 32, 15, 3
6228BS, 36, 13, 3
6228BR, 37, 13, 3
6228BL, 40, 13, 3
6228BN, 40, 13, 3
6228BH, 29, 11, 3
6228BK, 27, 10, 3
6228BJ, 28, 11, 3
6228BE, 45, 13, 3
6228BD, 37, 14, 3
6228BG, 30, 15, 3
6228BA, 51, 12, 3
6228BC, 55, 13, 5
6228AX, 78, 15, 6
6228AZ, 82, 15, 9
6228AT, 66, 13, 6
6228AS, 84, 16, 10
6228AR, 87, 16, 10
6228AL, 71, 13, 8
6228AK, 84, 15, 10
6228AN, 78, 13, 10
6228AM, 92, 15, 11
6228AH, 74, 14, 9
6228AG, 56, 14, 6
6228AJ, 67, 13, 6
6228AE, 63, 13, 6
6219CZ, 81, 22, 26
6219BZ, 106, 30, 34
6219BW, 109, 31, 34
6219BV, 92, 24, 26
6219BX, 112, 34, 35
6219BS, 86, 23, 24
6219BR, 85, 22, 24
6219BT, 91, 23, 24
6219BN, 60, 18, 22
6219BP, 87, 25, 24
6219BK, 77, 22, 25
6219BJ, 79, 22, 25
6219BM, 66, 17, 22
6219BG, 83, 23, 25
6219BH, 80, 23, 23
6219BC, 101, 29, 32
6219BB, 100, 31, 32
6219BE, 89, 24, 27
6219BD, 94, 25, 28
6214XZ, 95, 41, 7
6219BA, 92, 25, 27
6219AZ, 122, 40, 36
6214XX, 104, 41, 14
6219AV, 134, 42, 36
6219AX, 103, 28, 32
6219AW, 129, 42, 36
6214XN, 109, 41, 16
6219AR, 138, 50, 37
6214XM, 111, 42, 17
6214XP, 104, 41, 16
6219AT, 146, 48, 37
6219AS, 149, 55, 38
6214XJ, 104, 42, 14
6219AN, 187, 121, 41
6219AM, 184, 107, 41
6214XL, 108, 41, 14
6219AP, 148, 55, 38
6214XK, 96, 44, 9
6219AJ, 178, 90, 41
6214XH, 120, 42, 17
6219AL, 201, 156, 42
6214XG, 111, 42, 16
6219AK, 125, 41, 36
6214XA, 102, 42, 12
6219AE, 210, 190, 42
6219AH, 185, 89, 39
6214XC, 101, 43, 12
6219AG, 173, 68, 40
6219AB, 197, 150, 42
6219AA, 113, 31, 36
6219AD, 189, 111, 41
6219AC, 28, 8, 7
6223BB, 16, 0, 2
6223BA, 17, 0, 2
6223BD, 18, 0, 2
6223BC, 17, 0, 2
6223AX, 17, 0, 1
6223AZ, 17, 0, 2
6223AT, 17, 0, 2
6223AW, 17, 1, 2
6223AV, 17, 0, 2
6223AP, 17, 1, 2
6223AS, 17, 0, 2
6223AR, 17, 1, 2
6223AM, 17, 1, 2
6223AL, 17, 0, 2
6223AN, 17, 1, 2
6223AH, 17, 0, 2
6223AK, 17, 0, 2
6223AJ, 17, 0, 2
6223AE, 19, 1, 2
6223AD, 18, 0, 2
6223AG, 18, 0, 2
6223AC, 18, 2, 2
6223AB, 27, 6, 3
6218ND, 20, 24, 3
6218NC, 15, 18, 3
6218NE, 18, 21, 3
6218NB, 5, 0, 1
6218NA, 5, 0, 2
6227HR, 150, 58, 15
6227HL, 137, 59, 15
6227HK, 137, 60, 15
6227HN, 148, 58, 15
6227HM, 151, 58, 15
6227HJ, 144, 58, 15
6227HD, 129, 57, 13
6227HE, 129, 58, 14
6227HB, 125, 52, 13
6227HA, 129, 54, 13
6227GV, 119, 46, 12
6227GS, 112, 29, 12
6227GR, 104, 25, 12
6227GT, 122, 48, 12
6227GN, 107, 34, 11
6227GP, 107, 28, 12
6227GK, 98, 17, 10
6227GJ, 104, 18, 12
6227GM, 117, 46, 12
6227GL, 96, 17, 11
6227GH, 113, 29, 12
6227GC, 138, 49, 15
6214DA, 253, 146, 54
6227GB, 137, 54, 15
6227GE, 114, 25, 12
6227GA, 136, 46, 14
6227EX, 142, 25, 15
6227ET, 115, 19, 14
6227EW, 114, 18, 12
6227EV, 121, 18, 13
6227EP, 140, 28, 15
6227ES, 116, 18, 12
6227ER, 145, 41, 15
6227EL, 145, 52, 15
6227EN, 141, 48, 15
6214BH, 533, 477, 124
6214BG, 246, 71, 64
6227EH, 142, 60, 15
6227EJ, 149, 53, 16
6214BD, 205, 56, 57
6227EE, 148, 58, 15
6214BC, 319, 198, 78
6227ED, 138, 59, 15
6227EG, 143, 48, 16
6214BE, 102, 40, 15
6227EA, 136, 58, 15
6214BB, 486, 446, 113
6227EC, 134, 28, 15
6214BA, 467, 442, 109
6227EB, 148, 60, 15
6214AZ, 506, 482, 116
6214AW, 520, 488, 120
6214AV, 400, 372, 85
6214AX, 501, 464, 115
6214AS, 439, 457, 98
6214AR, 428, 430, 90
6214AT, 493, 483, 110
6214AN, 379, 355, 75
6214AP, 470, 474, 97
6214AK, 484, 485, 107
6214AJ, 504, 488, 111
6214AM, 446, 473, 94
6214AL, 426, 424, 92
6214AG, 535, 486, 125
6214AH, 524, 490, 115
6214AC, 467, 487, 98
6214AB, 477, 487, 100
6214AE, 532, 492, 118
6214AD, 502, 488, 111
6214AA, 362, 312, 71
6227DB, 165, 58, 19
6227DA, 178, 64, 24
6227CV, 98, 49, 12
6227CR, 69, 48, 10
6218HW, 25, 33, 2
6227CN, 84, 50, 11
6218HT, 26, 31, 3
6218HS, 25, 31, 3
6227CP, 73, 48, 10
6218HN, 26, 30, 3
6227CK, 100, 50, 13
6218HM, 22, 23, 7
6218HP, 23, 24, 7
6227CM, 73, 48, 10
6227CL, 101, 50, 13
6218HJ, 27, 30, 6
6227CG, 102, 49, 12
6218HL, 23, 24, 8
6218HK, 28, 31, 3
6227CH, 98, 49, 12
6227CC, 103, 49, 13
6218HE, 22, 23, 7
6227CB, 103, 49, 13
6218HH, 27, 30, 6
6227CE, 103, 49, 13
6218HG, 27, 30, 5
6227CD, 103, 49, 13
6218HB, 21, 19, 7
6218HA, 22, 21, 7
6218HD, 22, 23, 7
6218HC, 22, 23, 7
6227BZ, 69, 49, 7
6227BV, 84, 49, 11
6218GX, 22, 23, 7
6227BX, 95, 50, 13
6218GZ, 26, 28, 7
6227BW, 74, 49, 10
6227BR, 147, 50, 16
6218GT, 23, 23, 7
6218GW, 22, 23, 7
6227BT, 90, 50, 11
6218GV, 22, 23, 7
6227BS, 101, 50, 15
6227BN, 119, 49, 15
6218GP, 22, 23, 7
6227BM, 144, 50, 16
6227BP, 128, 50, 15
6218GR, 32, 28, 6
6218GM, 24, 23, 7
6227BJ, 151, 50, 17
6218GL, 25, 23, 7
6227BL, 137, 49, 15
6218GN, 22, 23, 7
6227BK, 117, 49, 15
6218GH, 27, 29, 7
6227BE, 172, 65, 23
6218GK, 28, 23, 7
6227BH, 124, 51, 15
6218GJ, 26, 24, 7
6227BG, 129, 49, 15
6218GE, 27, 29, 7
6227BB, 160, 51, 17
6218GD, 30, 28, 6
6227BA, 158, 53, 16
6218GG, 28, 29, 7
6227BD, 167, 54, 19
6227BC, 164, 53, 19
6227RN, 161, 59, 17
6227RM, 149, 51, 16
6227RP, 161, 56, 15
6227RJ, 164, 64, 16
6227RL, 159, 59, 16
6227RK, 158, 63, 16
6218WH, 23, 7, 5
6227RE, 149, 30, 14
6227RH, 159, 64, 16
6227RG, 160, 50, 15
6218WE, 23, 7, 6
6218WD, 23, 7, 6
6218WG, 23, 7, 5
6227RD, 161, 59, 17
6227RC, 162, 59, 16
6218WC, 23, 7, 6
6218WB, 23, 7, 6
6218VX, 19, 7, 6
6218VW, 24, 22, 7
6218VZ, 17, 7, 6
6218VT, 20, 13, 6
6218VS, 22, 19, 6
6218VV, 20, 12, 6
6218VP, 21, 10, 6
6218VR, 20, 10, 6
6218VL, 20, 9, 6
6218VK, 20, 9, 6
6218VN, 22, 16, 6
6218VM, 19, 7, 6
6218VH, 28, 19, 6
6218VG, 24, 23, 7
6218VJ, 23, 7, 6
6218VD, 24, 22, 7
