Postal Code, Amenity Count, Shop Count, Tourism Count
6218VC, 26, 14, 6
6218VB, 17, 9, 6
6218VA, 19, 7, 6
6223HV, 8, 1, 0
6223HG, 11, 1, 0
6223HD, 11, 1, 0
6223HC, 10, 0, 0
6223HE, 11, 1, 0
6223HB, 10, 1, 0
6223HA, 10, 1, 0
6223GZ, 11, 1, 0
6223GW, 10, 1, 0
6223GX, 11, 1, 0
6223GS, 11, 1, 0
6223GR, 11, 1, 0
6223GT, 11, 1, 0
6223GN, 11, 1, 0
6223GP, 11, 1, 0
6223GM, 11, 1, 0
6223GL, 11, 1, 0
6223GG, 11, 1, 0
6223GH, 11, 1, 0
6218TJ, 23, 7, 6
6223GC, 11, 1, 0
6223GB, 11, 1, 0
6218TL, 23, 7, 6
6223GE, 11, 1, 0
6218TK, 23, 7, 6
6223GD, 11, 1, 0
6218TE, 23, 7, 6
6218TH, 23, 7, 6
6223GA, 11, 1, 0
6218TG, 23, 7, 6
6218TB, 29, 23, 7
6218TA, 29, 24, 6
6218TD, 24, 7, 6
6218TC, 23, 7, 6
6218SX, 28, 20, 5
6218SZ, 29, 22, 6
6218ST, 33, 23, 5
6218SW, 26, 18, 5
6218SV, 30, 22, 5
6218SP, 31, 23, 5
6218SR, 27, 17, 5
6218SM, 23, 7, 5
6218SL, 23, 7, 5
6218SN, 33, 24, 5
6218SH, 23, 7, 5
6218SK, 24, 7, 6
6218SJ, 23, 7, 5
6218SE, 23, 7, 5
6218SG, 23, 7, 5
6218SC, 26, 16, 6
6218SB, 26, 16, 6
6223ET, 11, 1, 0
6223EV, 11, 1, 0
6218RX, 23, 7, 5
6218RW, 23, 7, 5
6218RZ, 23, 7, 5
6218RT, 23, 7, 5
6218RS, 23, 7, 5
6218RV, 23, 7, 5
6218RP, 23, 7, 6
6218RR, 23, 7, 5
6218RL, 23, 7, 5
6223EE, 6, 0, 2
6218RK, 23, 7, 5
6223ED, 6, 0, 2
6218RN, 23, 7, 6
6223EG, 5, 0, 1
6218RM, 23, 7, 5
6218RH, 23, 8, 5
6223EA, 6, 0, 2
6218RG, 23, 8, 5
6218RJ, 22, 7, 5
6223EC, 6, 0, 2
6223EB, 6, 0, 2
6218RD, 23, 8, 5
6218RC, 24, 8, 5
6218RE, 23, 8, 5
6218RB, 24, 10, 5
6223CS, 6, 0, 1
6223CR, 6, 0, 1
6223CT, 6, 0, 1
6223CN, 6, 0, 2
6223CP, 6, 0, 2
6223CK, 6, 0, 2
6223CJ, 6, 0, 2
6223CM, 6, 0, 2
6223CL, 6, 0, 2
6223CG, 6, 0, 2
6223CH, 6, 0, 2
6223CA, 6, 0, 2
6223BV, 6, 0, 2
6223BW, 6, 0, 2
6223BR, 6, 0, 2
6223BT, 6, 0, 2
6223BS, 6, 0, 2
6223BM, 5, 0, 2
6223BJ, 6, 0, 2
6223BL, 6, 0, 2
6223BK, 7, 0, 2
6223BE, 18, 0, 2
6223BH, 6, 0, 2
6223BG, 17, 0, 2
6226XW, 68, 51, 8
6226XV, 49, 48, 5
6226XM, 99, 28, 24
6222PH, 4, 0, 1
6226XL, 94, 40, 19
6226XN, 79, 33, 15
6222PE, 2, 0, 1
6222PD, 2, 0, 0
6226XH, 116, 54, 25
6222PG, 1, 0, 1
6226XK, 101, 31, 24
6226XJ, 100, 41, 20
6226XE, 119, 56, 26
6226XD, 119, 39, 25
6226XG, 110, 49, 24
6226XA, 115, 49, 25
6226XC, 104, 40, 25
6226XB, 111, 41, 25
6226WX, 51, 48, 5
6226WZ, 62, 50, 6
6226WT, 69, 51, 8
6226WS, 68, 51, 7
6226WV, 61, 50, 6
6226WP, 56, 50, 5
6226WR, 62, 50, 6
6226WL, 47, 49, 5
6226WK, 59, 51, 6
6226WN, 60, 50, 5
6226WH, 56, 49, 5
6226WG, 59, 49, 8
6226WJ, 70, 51, 8
6226WD, 53, 49, 5
6226WC, 60, 48, 8
6226WE, 61, 51, 8
6222NZ, 21, 2, 3
6226WB, 61, 51, 8
6226VZ, 76, 39, 13
6226VV, 83, 45, 15
6226VX, 96, 56, 16
6226VR, 130, 53, 26
6226VN, 103, 39, 24
6226VP, 115, 34, 24
6222NG, 26, 3, 3
6226VJ, 90, 61, 15
6226VM, 102, 41, 24
6226VL, 112, 31, 24
6222NE, 24, 3, 2
6222NA, 25, 3, 2
6226TA, 66, 48, 8
6226TB, 64, 48, 9
6217XZ, 81, 58, 9
6217XW, 67, 54, 8
6217XV, 56, 51, 7
6217XS, 48, 48, 6
6217XT, 52, 50, 6
6217XN, 59, 51, 7
6217XP, 56, 54, 8
6217XK, 68, 52, 8
6217XJ, 59, 53, 9
6217XM, 61, 50, 7
6217XL, 66, 51, 7
6217XG, 69, 52, 8
6217XH, 51, 52, 8
6217XC, 60, 53, 10
6217XE, 60, 53, 9
6217XD, 67, 52, 8
6217VX, 60, 53, 9
6217VZ, 68, 56, 9
6217VT, 66, 51, 7
6217VW, 60, 52, 10
6217VP, 60, 46, 7
6217VR, 60, 51, 8
6217VM, 59, 46, 7
6217VL, 58, 48, 7
6217VN, 56, 46, 7
6213NE, 25, 2, 14
6217VH, 62, 48, 7
6217VK, 60, 48, 7
6217VJ, 62, 46, 7
6213NA, 52, 7, 27
6217VE, 70, 54, 8
6213NC, 38, 7, 23
6217VG, 69, 52, 7
6213NB, 14, 0, 8
6218GA, 22, 23, 7
6222XX, 40, 18, 7
6218GC, 29, 28, 7
6218GB, 24, 23, 7
6222XZ, 40, 19, 10
6222XT, 49, 22, 11
6227AX, 155, 58, 18
6222XW, 30, 14, 7
6222XV, 64, 26, 12
6227AZ, 160, 57, 17
6222XP, 43, 17, 7
6227AT, 162, 52, 18
6222XS, 42, 19, 8
6227AW, 140, 58, 16
6222XR, 42, 18, 7
6227AV, 139, 58, 16
6222XM, 34, 16, 7
6222XL, 34, 15, 7
6227AP, 158, 52, 18
6227AS, 168, 58, 19
6222XN, 41, 14, 7
6227AR, 169, 59, 21
6227AM, 164, 59, 21
6222XH, 61, 25, 15
6227AL, 176, 60, 23
6222XK, 57, 22, 12
6222XJ, 63, 24, 17
6227AN, 167, 56, 18
6222XE, 44, 18, 10
6222XD, 49, 21, 10
6227AH, 203, 74, 27
6222XG, 61, 27, 13
6227AK, 164, 54, 19
6227AE, 49, 46, 4
6227AD, 65, 48, 9
6227AA, 172, 66, 23
6227AC, 110, 50, 13
6227AB, 137, 59, 16
6218EW, 22, 23, 7
6218EV, 22, 23, 7
6218EX, 22, 23, 7
6218ES, 22, 23, 7
6222WL, 47, 16, 8
6218ER, 18, 19, 7
6222WK, 47, 15, 8
6218ET, 22, 23, 7
6222WH, 35, 16, 8
6218EN, 30, 23, 7
6222WJ, 46, 15, 7
6218EP, 26, 23, 7
6218EK, 32, 24, 6
6222WD, 37, 17, 7
6218EJ, 32, 24, 6
6218EM, 31, 23, 7
6218EL, 25, 23, 7
6222WE, 37, 17, 10
6218EG, 29, 24, 7
6222WB, 34, 15, 7
6218EH, 29, 23, 7
6218EC, 26, 23, 7
6218EB, 25, 23, 7
6222VZ, 39, 18, 10
6218EE, 29, 23, 7
6218ED, 28, 23, 7
6222VW, 38, 18, 9
6222VV, 38, 17, 7
6218EA, 24, 23, 7
6222VX, 37, 16, 7
6222VR, 29, 13, 7
6222VK, 30, 15, 7
6222VJ, 37, 11, 7
6222VM, 36, 13, 7
6222VL, 36, 13, 7
6222VG, 33, 8, 6
6222VH, 26, 9, 7
6222VC, 28, 13, 7
6222VB, 26, 11, 7
6222VE, 36, 7, 7
6222VD, 36, 11, 7
6218DA, 32, 25, 6
6218CX, 24, 23, 7
6218CZ, 24, 23, 7
6218CT, 29, 24, 6
6218CW, 24, 23, 7
6218CV, 26, 23, 7
6218CP, 31, 24, 6
6218CS, 27, 23, 7
6218CR, 26, 23, 7
6218CM, 32, 24, 6
6218CN, 31, 24, 6
6218CH, 32, 24, 6
6218CK, 34, 25, 6
6218CJ, 34, 24, 6
6218CE, 31, 24, 7
6218CD, 26, 24, 7
6218CG, 31, 24, 6
6222TX, 36, 4, 6
6218CC, 28, 23, 7
6218CB, 28, 23, 7
6222TZ, 36, 6, 6
6222TT, 36, 7, 6
6222TW, 37, 6, 6
6222TV, 36, 5, 6
6218BX, 28, 24, 7
6218BW, 28, 24, 7
6222TP, 31, 8, 7
6218BZ, 29, 24, 6
6222TS, 38, 5, 6
6222TR, 36, 8, 7
6218BT, 24, 23, 7
6222TM, 29, 9, 7
6218BS, 25, 23, 7
6222TL, 29, 7, 7
6218BV, 27, 23, 7
6222TN, 29, 7, 6
6218BP, 24, 23, 7
6218BR, 24, 23, 7
6222TJ, 31, 8, 7
6222TE, 35, 5, 6
6218BK, 24, 23, 7
6222TD, 28, 7, 6
6222TG, 38, 5, 6
6222TC, 34, 5, 6
6222TB, 34, 5, 6
6218BC, 24, 23, 7
6218BE, 21, 21, 7
6222SX, 36, 6, 6
6222SW, 38, 6, 6
6222ST, 32, 7, 6
6218AZ, 26, 19, 6
6222SV, 23, 7, 6
6218AW, 38, 38, 5
6222SP, 26, 7, 6
6218AV, 28, 22, 6
6222SR, 23, 7, 6
6218AX, 38, 38, 5
6218AS, 32, 24, 6
6218AR, 32, 24, 6
6222SK, 29, 7, 6
6222SN, 24, 7, 6
6218AT, 32, 24, 5
6222SM, 27, 7, 6
6222SH, 27, 7, 6
6218AN, 32, 24, 6
6222SG, 22, 6, 6
6222SJ, 30, 7, 6
6218AP, 32, 24, 6
6218AK, 30, 24, 7
6218AJ, 33, 24, 6
6218AM, 32, 24, 6
6218AL, 32, 24, 7
6218AG, 33, 26, 5
6218AH, 33, 24, 5
6218AA, 29, 31, 5
6226XX, 97, 27, 23
6226XZ, 102, 32, 23
6226HE, 83, 52, 8
6213EC, 51, 17, 7
6226HD, 91, 52, 12
6226HA, 90, 58, 9
6213EB, 51, 17, 7
6226HB, 67, 51, 8
6226GX, 93, 63, 11
6217LZ, 254, 163, 52
6226GW, 105, 63, 11
6226GZ, 98, 63, 9
6217LW, 159, 85, 39
6226GT, 99, 63, 10
6217LV, 329, 241, 61
6226GS, 105, 63, 10
6226GV, 100, 58, 12
6217LX, 253, 161, 53
6217LS, 235, 129, 47
6226GP, 110, 59, 13
6217LR, 256, 161, 53
6226GR, 111, 63, 12
6217LT, 345, 284, 64
6226GL, 140, 66, 18
6217LN, 160, 85, 34
6226GK, 127, 63, 15
6226GN, 112, 59, 15
6217LP, 155, 85, 33
6226GM, 124, 60, 14
6217LK, 176, 92, 39
6226GH, 130, 63, 15
6217LJ, 162, 82, 31
6226GG, 139, 64, 17
6217LM, 221, 121, 46
6226GJ, 140, 65, 18
6217LL, 186, 110, 44
6217LG, 171, 85, 37
6226GD, 133, 60, 18
6226GC, 148, 67, 20
6217LH, 191, 90, 42
6226GE, 144, 65, 18
6217LC, 319, 241, 58
6217LB, 274, 188, 56
6217LE, 196, 87, 43
6226GB, 160, 67, 21
6217LD, 211, 106, 44
6226GA, 159, 67, 21
6217LA, 273, 184, 55
6213CV, 96, 33, 16
6217KZ, 252, 153, 49
6213CW, 98, 38, 14
6213CR, 132, 36, 28
6217KV, 327, 233, 61
6213CT, 99, 35, 19
6217KX, 264, 168, 52
6213CS, 99, 34, 21
6217KW, 255, 172, 50
6213CN, 113, 24, 28
6217KR, 354, 266, 63
6213CP, 90, 21, 16
6217KT, 341, 242, 62
6217KS, 392, 376, 75
6213CJ, 82, 18, 20
6217KN, 401, 390, 75
6217KM, 345, 277, 63
6217KP, 339, 257, 61
6213CK, 188, 55, 46
6217KJ, 508, 495, 105
6213CE, 161, 25, 41
6213CH, 164, 36, 39
6217KL, 438, 441, 88
6213CG, 266, 96, 69
6217KK, 344, 279, 64
6213CB, 211, 49, 64
6213CA, 291, 114, 75
6217KE, 537, 507, 121
6213CD, 197, 48, 59
6217KH, 523, 498, 117
6213CC, 161, 26, 39
6217KG, 530, 502, 120
6217KB, 289, 191, 59
6217KA, 372, 347, 72
6217KD, 539, 497, 113
6217KC, 225, 78, 49
6226EZ, 163, 72, 22
6226EV, 139, 65, 15
6213BT, 78, 18, 21
6217JX, 93, 57, 13
6226EX, 147, 67, 20
6213BV, 94, 18, 28
6217JZ, 89, 55, 7
6226EW, 141, 68, 20
6226ER, 101, 59, 11
6213BP, 83, 13, 31
6217JT, 148, 73, 29
6213BS, 83, 18, 26
6217JW, 104, 65, 15
6226ET, 123, 63, 14
6213BR, 76, 16, 27
6217JV, 135, 70, 21
6226ES, 118, 63, 13
6226EN, 168, 75, 22
6213BL, 75, 12, 30
6217JP, 154, 78, 30
6226EM, 155, 71, 21
6217JS, 200, 60, 43
6226EP, 86, 53, 9
6217JR, 178, 68, 37
6217JM, 216, 84, 46
6226EJ, 126, 63, 14
6213BH, 265, 76, 70
6217JL, 166, 74, 32
6213BK, 147, 23, 42
6226EL, 144, 68, 20
6213BJ, 182, 36, 54
6217JN, 176, 76, 40
6226EK, 146, 68, 20
6213BE, 77, 12, 31
6213BD, 142, 23, 43
6217JH, 96, 62, 12
6226EE, 97, 59, 10
6213BG, 392, 317, 103
6217JK, 118, 70, 17
6226EH, 126, 63, 14
6217JJ, 134, 71, 24
6226EG, 109, 63, 13
6213BA, 233, 51, 70
6217JE, 95, 58, 12
6226EB, 116, 63, 12
6217JD, 126, 73, 19
6226EA, 120, 63, 13
6217JG, 106, 75, 16
6226ED, 93, 58, 10
6213BB, 182, 31, 56
6226EC, 88, 54, 9
6217JA, 73, 57, 8
6217JB, 77, 58, 8
6213AP, 174, 28, 49
6226DP, 137, 73, 21
6226DS, 132, 74, 22
6226DR, 142, 76, 27
6213AL, 185, 35, 58
6226DM, 88, 61, 14
6213AK, 203, 38, 66
6226DL, 90, 60, 15
6213AM, 106, 19, 36
6226DH, 82, 59, 13
6213AJ, 282, 84, 75
6226DK, 88, 60, 15
6226DJ, 77, 58, 11
6213AD, 377, 233, 103
6213AC, 404, 350, 107
6226DG, 84, 60, 13
6213AE, 266, 75, 76
6226DA, 104, 63, 15
6213AB, 381, 264, 105
6213AA, 407, 361, 109
6226DB, 88, 60, 15
6226CX, 131, 65, 15
6217HZ, 81, 53, 6
6226CW, 137, 68, 17
6226CZ, 130, 64, 14
6217HW, 82, 60, 10
6226CT, 153, 75, 18
6217HV, 79, 57, 9
6226CS, 128, 64, 14
6226CV, 132, 67, 16
6217HX, 91, 63, 9
6217HS, 100, 67, 15
6226CP, 130, 65, 14
6217HR, 99, 66, 15
6226CR, 162, 76, 19
6217HT, 86, 61, 10
6226CL, 144, 68, 18
6217HN, 98, 67, 15
6226CK, 149, 70, 20
6226CN, 154, 75, 19
6217HP, 91, 64, 11
6226CM, 121, 63, 13
6217HK, 99, 73, 17
6226CH, 161, 77, 20
6217HJ, 96, 69, 15
6226CG, 162, 76, 19
6217HM, 105, 73, 16
6226CJ, 171, 76, 22
6217HL, 111, 74, 17
6217HG, 96, 65, 14
6226CD, 167, 79, 27
6226CC, 171, 75, 23
6221ZB, 543, 522, 120
6217HH, 91, 63, 12
6226CE, 164, 78, 24
6217HC, 47, 48, 8
6217HB, 75, 55, 11
6217HE, 88, 62, 12
6226CB, 171, 79, 27
6217HD, 31, 29, 7
6226CA, 180, 75, 23
6217HA, 139, 80, 27
6217GZ, 32, 33, 6
6226BV, 138, 74, 19
6217GV, 73, 55, 9
6226BS, 135, 69, 16
6226BR, 121, 64, 12
6217GX, 40, 41, 7
6217GW, 52, 49, 9
6226BT, 114, 64, 12
6217GR, 102, 71, 18
6226BN, 118, 64, 12
6217GT, 99, 69, 15
6217GS, 100, 70, 17
6226BP, 113, 64, 12
6217GN, 33, 28, 8
6226BK, 106, 64, 11
6217GM, 31, 28, 9
6226BJ, 113, 64, 13
6217GP, 133, 81, 24
6226BL, 112, 64, 12
6217GJ, 29, 28, 9
6226BG, 145, 76, 20
6217GL, 32, 28, 9
6217GK, 38, 30, 12
6226BH, 118, 66, 17
6226BC, 134, 75, 19
6217GE, 43, 30, 12
6226BB, 105, 64, 14
6217GH, 30, 27, 8
6226BE, 115, 65, 17
6217GG, 30, 27, 9
6226BD, 93, 62, 13
6217GB, 32, 32, 5
6221XZ, 475, 504, 91
6217GA, 31, 32, 5
6217GD, 27, 27, 9
6226BA, 93, 63, 12
6221XV, 501, 514, 110
6226AZ, 64, 57, 10
6221XX, 479, 506, 100
6221XW, 487, 511, 102
6221XR, 505, 514, 113
6226AV, 85, 61, 12
6221XT, 498, 511, 106
6226AX, 78, 59, 11
6221XS, 502, 513, 111
6226AW, 62, 49, 10
6221XN, 527, 519, 117
6221XM, 499, 512, 110
6221XP, 513, 518, 117
6226AT, 136, 73, 20
6221XJ, 567, 526, 125
6226AN, 127, 73, 23
6226AM, 136, 74, 28
6221XL, 518, 515, 113
6226AP, 134, 76, 27
6221XK, 549, 521, 122
6226AJ, 127, 73, 26
6221XE, 560, 517, 124
6221XH, 546, 517, 121
6226AL, 133, 74, 28
6221XG, 546, 516, 121
6226AK, 116, 69, 18
6221XB, 573, 515, 126
6221XA, 562, 514, 126
6226AE, 146, 75, 28
6221XD, 562, 517, 124
6226AH, 118, 72, 23
6221XC, 576, 517, 125
6226AG, 151, 77, 28
6226AB, 124, 62, 27
6226AA, 112, 65, 23
6226AD, 123, 58, 26
6226AC, 110, 57, 23
6217EW, 33, 33, 6
6217EZ, 31, 33, 7
6217ET, 32, 34, 6
6217ES, 39, 40, 5
6217EV, 38, 41, 6
6217EP, 38, 44, 6
6217ER, 32, 33, 7
6217EL, 39, 47, 7
6217EK, 47, 52, 8
6217EN, 37, 38, 7
6217EM, 39, 50, 7
6217EH, 43, 52, 7
6217EG, 43, 52, 5
6217EJ, 44, 52, 6
6217EE, 44, 52, 6
6213KE, 25, 6, 2
6213KG, 26, 6, 2
6213KB, 23, 6, 4
6213KA, 24, 6, 4
6226NB, 53, 46, 4
6213KD, 26, 6, 2
6226NE, 30, 31, 2
6213JX, 25, 6, 3
6213JZ, 24, 6, 3
6213JT, 24, 6, 3
6213JW, 25, 6, 3
6213JV, 25, 6, 4
6213JP, 25, 6, 2
6222EM, 29, 8, 6
6213JS, 25, 6, 4
6222EP, 32, 8, 14
6213JR, 23, 6, 3
6222EJ, 34, 9, 13
6213JL, 27, 6, 2
6222EL, 34, 8, 15
6213JN, 27, 6, 3
6222EK, 29, 8, 6
6213JH, 26, 6, 2
6213JK, 27, 6, 2
6222EH, 29, 9, 6
6222EG, 38, 9, 16
6222EB, 31, 8, 14
6213JD, 25, 6, 4
6222EA, 29, 8, 6
6213JG, 26, 6, 2
6222ED, 49, 9, 17
6222EC, 29, 9, 6
6213JA, 27, 6, 3
6213JC, 27, 6, 3
6213JB, 25, 6, 4
6217RA, 69, 49, 4
6222CX, 29, 9, 6
6213HZ, 25, 6, 2
6222CZ, 30, 9, 6
6213HW, 26, 6, 2
6222CT, 30, 9, 6
6213HV, 27, 6, 2
6222CS, 27, 8, 6
6213HX, 26, 6, 2
6213HS, 27, 6, 2
6222CP, 27, 8, 6
6213HR, 30, 6, 2
6222CR, 29, 9, 6
6213HT, 27, 6, 2
6217PX, 311, 214, 59
6222CL, 29, 9, 6
6213HN, 30, 6, 2
6222CN, 26, 8, 6
6213HP, 29, 6, 2
6222CM, 28, 9, 6
6213HK, 31, 6, 2
6222CH, 25, 5, 3
6222CG, 25, 5, 3
6222CJ, 25, 5, 3
6213HL, 31, 6, 2
6213HG, 26, 6, 4
6217PK, 40, 29, 9
6222CD, 26, 5, 5
6217PJ, 44, 43, 8
6222CC, 27, 7, 6
6213HH, 28, 6, 4
6222CE, 25, 5, 3
6213HE, 31, 6, 3
6222CB, 26, 5, 6
6213HD, 24, 6, 3
6217PH, 45, 32, 9
6222CA, 26, 5, 6
6217PB, 79, 45, 17
6222BZ, 26, 5, 6
6213GZ, 39, 9, 4
6222BW, 26, 4, 5
6222BV, 25, 4, 2
6217PA, 77, 54, 14
6222BX, 25, 5, 3
6213GV, 33, 9, 5
6222BS, 28, 5, 6
6222BR, 29, 7, 6
6213GX, 39, 9, 4
6213GW, 27, 6, 5
6222BT, 26, 5, 5
6226JX, 78, 51, 9
6213GR, 38, 9, 5
6222BN, 28, 5, 6
6213GS, 29, 6, 5
6222BP, 28, 5, 6
6213GM, 42, 9, 3
6222BJ, 29, 9, 6
6213GP, 42, 9, 2
6222BM, 27, 5, 6
6222BL, 28, 5, 6
6213GJ, 40, 9, 5
6222BG, 26, 8, 6
6213GL, 44, 9, 5
6213GK, 36, 9, 5
6222BH, 27, 8, 6
6222BC, 51, 16, 10
6213GE, 49, 10, 4
6222BB, 44, 13, 8
6213GH, 50, 10, 5
6222BE, 27, 8, 6
6213GG, 47, 10, 5
6222BD, 25, 6, 3
6213GB, 113, 42, 18
6213GA, 338, 235, 86
6213GD, 30, 6, 2
6222BA, 37, 13, 7
6213GC, 43, 9, 3
6222AR, 73, 21, 20
6217NX, 104, 59, 20
6222AT, 62, 21, 19
6217NZ, 92, 57, 18
6222AS, 66, 21, 20
6222AM, 13, 3, 2
6217NW, 125, 77, 26
6222AP, 56, 17, 19
6217NV, 119, 71, 23
6222AJ, 49, 18, 10
6217NP, 50, 49, 8
6217NS, 86, 57, 13
6222AL, 46, 13, 7
6217NR, 66, 53, 11
6222AK, 33, 5, 6
6222AE, 34, 4, 6
6222AH, 45, 13, 7
6217NN, 81, 56, 14
6222AG, 33, 10, 7
6217NH, 109, 70, 19
6222AA, 61, 8, 17
6217NK, 82, 57, 12
6217NE, 288, 202, 57
6217ND, 224, 120, 44
6217NC, 234, 137, 49
6217NB, 260, 159, 55
6213EX, 54, 16, 5
6213EW, 45, 16, 6
6226HX, 169, 79, 30
6213EZ, 58, 17, 5
6213ET, 61, 17, 6
6213ES, 62, 18, 6
6226HT, 142, 67, 16
6213EV, 44, 15, 6
6226HW, 142, 67, 16
6226HV, 142, 67, 16
6213EP, 78, 28, 7
6213ER, 76, 27, 7
6226HS, 109, 53, 13
6226HR, 139, 62, 18
6226HM, 99, 56, 11
6226HL, 92, 55, 10
6213EN, 86, 36, 7
6213EM, 86, 36, 7
6226HN, 97, 51, 12
6213EG, 38, 9, 3
6226HH, 95, 55, 11
6213EJ, 38, 9, 5
6226HK, 89, 53, 10
6226HJ, 96, 58, 11
6221KZ, 575, 487, 115
6221KT, 627, 514, 125
6221KV, 617, 510, 126
6221KS, 607, 500, 129
6221KR, 611, 503, 124
6221KM, 584, 496, 122
6216XS, 53, 25, 2
6221KN, 617, 501, 127
6216XP, 51, 29, 6
6216XR, 44, 22, 5
6216XL, 55, 23, 6
6216XK, 46, 22, 6
6216XN, 46, 22, 5
6216XM, 56, 23, 6
6216XH, 46, 22, 5
6216XG, 46, 22, 4
6216XJ, 46, 22, 5
6216XD, 48, 22, 5
6216XC, 47, 22, 5
6216XE, 48, 22, 3
6216XB, 51, 22, 5
6221JP, 661, 526, 145
6221JR, 539, 490, 110
6221JL, 602, 505, 121
6221JK, 560, 499, 116
6221JN, 594, 505, 117
6221JM, 559, 497, 113
6221JH, 511, 486, 104
6221JG, 534, 440, 110
6221JJ, 582, 502, 113
6221JD, 451, 421, 90
6221JC, 573, 500, 113
6221JE, 562, 484, 115
6221JB, 579, 503, 114
6221JA, 597, 508, 122
6229ZD, 38, 16, 13
6229ZC, 45, 19, 12
6229ZE, 35, 15, 13
6229ZB, 43, 20, 9
6229ZA, 46, 20, 9
6216VZ, 49, 22, 3
6216VV, 55, 23, 4
6216VX, 53, 24, 2
6216VW, 53, 22, 4
6216VR, 55, 24, 3
6216VT, 57, 27, 3
6216VS, 52, 25, 3
6212NJ, 29, 0, 25
6216VN, 61, 27, 3
6216VM, 60, 27, 3
6212NL, 55, 7, 29
6216VP, 54, 23, 3
6212NK, 32, 2, 33
6216VJ, 54, 25, 3
6212NE, 60, 8, 44
6212NH, 218, 22, 82
6216VL, 58, 27, 4
6216VK, 54, 24, 3
6212NA, 42, 2, 27
6216VH, 55, 23, 5
6212NC, 73, 12, 44
6216VG, 60, 34, 6
6216VB, 56, 27, 4
6216VA, 55, 25, 3
6216VD, 55, 25, 3
6216VC, 59, 35, 6
6229XV, 66, 19, 19
6229XX, 46, 19, 14
6229XW, 47, 19, 16
6221HJ, 445, 356, 89
6229XR, 51, 19, 17
6229XT, 43, 19, 13
6229XS, 46, 19, 16
6229XN, 45, 19, 16
6221HE, 442, 309, 90
6229XM, 46, 19, 16
6221HH, 445, 357, 89
6229XP, 46, 19, 15
6221HG, 466, 404, 94
6221HB, 468, 392, 97
6229XJ, 50, 19, 17
6221HA, 468, 392, 97
6221HD, 505, 462, 99
6229XL, 47, 19, 16
6221HC, 459, 343, 93
6229XK, 68, 19, 18
6229XE, 51, 19, 16
6229XH, 47, 19, 16
6229XG, 64, 19, 18
6229XB, 45, 19, 14
6229XA, 45, 19, 14
6229XD, 48, 19, 15
6229XC, 46, 19, 14
6229WX, 43, 20, 9
6229WZ, 51, 20, 9
6216TS, 59, 27, 4
6229WT, 50, 20, 12
6229WV, 49, 20, 12
6216TP, 60, 27, 4
6221GH, 474, 327, 100
6229WP, 47, 19, 14
6216TR, 55, 25, 4
6221GK, 413, 229, 87
6229WS, 44, 19, 12
6221GJ, 498, 477, 101
6229WR, 48, 19, 15
6216TL, 58, 28, 4
6221GE, 477, 420, 98
6216TK, 59, 28, 4
6221GD, 495, 475, 98
6229WL, 71, 20, 15
6216TN, 59, 28, 4
6221GG, 483, 386, 101
6216TM, 59, 28, 4
6229WN, 81, 20, 15
6216TH, 60, 28, 4
6221GA, 675, 527, 153
6216TG, 59, 29, 5
6229WH, 74, 20, 15
6216TJ, 58, 28, 4
6229WK, 78, 20, 13
6221GB, 677, 527, 149
6229WJ, 62, 20, 13
6216TD, 60, 28, 4
6229WE, 55, 20, 13
6216TC, 59, 28, 4
6229WD, 55, 20, 10
6229WG, 78, 20, 15
6216TE, 61, 28, 4
6216TB, 61, 28, 4
6229WC, 75, 20, 10
6216TA, 63, 28, 4
6229WB, 70, 20, 12
6216SZ, 61, 28, 4
6216SW, 61, 31, 4
6229VX, 90, 19, 23
6216SV, 64, 34, 5
6229VW, 110, 18, 23
6229VZ, 76, 19, 17
6216SX, 62, 29, 5
6229VT, 103, 19, 25
6216SR, 61, 30, 4
6229VS, 114, 18, 21
6229VV, 89, 19, 21
6216ST, 61, 30, 4
6221VX, 577, 517, 125
6221VW, 473, 386, 99
6221VZ, 575, 517, 125
6221VT, 445, 301, 93
6221VS, 443, 259, 95
6221VV, 463, 315, 97
6221VP, 405, 183, 86
6221VR, 439, 272, 92
6221VK, 429, 246, 88
6221VN, 427, 232, 92
6221VM, 395, 151, 83
6221VH, 401, 189, 86
6221VG, 393, 156, 84
6221VJ, 402, 181, 85
6221VD, 354, 97, 72
6221VC, 384, 142, 84
6221VE, 426, 249, 88
